player_id,name,current_value,current_date,peak_value,peak_date,days_since_update,is_stale,total_goals,total_assists,total_minutes,total_appearances,total_yellow_cards,total_red_cards,goals_per_90,assists_per_90,date_of_birth,position,sub_position,foot,height_in_cm,country_of_citizenship,age,log_value,age_squared,recent_goals_per_90,recent_assists_per_90,recent_minutes,league_tier,league_tier_missing,predicted_log_value,residual
671652,Gustavo Henrique,200000,2025-10-21,375000,2022-12-28,129,False,0,1,359,8,0,0,0.0,0.2506963788300835,1999-05-24,Attack,Left Winger,right,176.0,Brazil,26.412046543463383,12.206077645517674,697.596202614076,0.0,0.0,0.0,1.0,1,12.94965719416013,-0.7435795486424563
681829,Nilton,1200000,2025-10-21,1500000,2025-05-30,129,False,2,5,5140,81,15,0,0.0350194552529182,0.0875486381322957,2001-05-25,Defender,Left-Back,left,182.0,Portugal,24.407939767282684,13.997832948091215,595.7475236832995,0.0,0.05434782608695652,1656.0,1.0,0,14.746858147117074,-0.7490251990258585
731879,Hernâni,175000,2025-10-21,500000,2021-03-25,129,False,3,0,810,25,1,0,0.3333333333333333,0.0,2001-04-03,Attack,Right Winger,right,178.0,Portugal,24.550308008213552,12.07254696717504,602.7176232981544,0.0,0.0,0.0,1.0,1,12.876301577471438,-0.8037546102963979
669305,Viktor Bliznichenko,350000,2025-10-21,400000,2025-06-10,129,False,3,2,2243,50,6,0,0.1203744984395898,0.0802496656263932,2002-09-29,Attack,Left Winger,right,174.0,Ukraine,23.06091718001369,12.765691290604371,531.8059011834505,0.087890625,0.0,1024.0,1.0,0,13.718592280370574,-0.9529009897662029
884849,Daniil Khrypchuk,350000,2025-10-21,400000,2024-06-06,129,False,0,0,3139,53,4,2,0.0,0.0,2003-12-09,Defender,Centre-Back,right,192.0,Ukraine,21.867214236824093,12.765691290604371,478.1750584791623,0.0,0.0,1205.0,1.0,0,14.12505408326065,-1.3593627926562792
984699,Yaël Nandjou,100000,2025-10-21,150000,2024-12-10,129,False,0,0,430,7,0,0,0.0,0.0,2005-07-06,Defender,Left-Back,left,185.0,France,20.292950034223136,11.51293546492023,411.8038210914768,0.0,0.0,430.0,1.0,0,13.657794342041898,-2.144858877121669
1052719,Darnell Eric Bile,200000,2025-10-21,300000,2022-10-28,129,False,0,1,324,13,1,0,0.0,0.2777777777777778,2005-10-28,Attack,Left Winger,unknown,180.0,France,19.980835044490075,12.206077645517674,399.23376907512267,0.0,0.0,266.0,1.0,0,13.235360101756223,-1.0292824562385494
248732,Paweł Dawidowicz,2000000,2025-10-21,5000000,2021-12-28,129,False,3,1,9776,145,35,3,0.0276186579378068,0.0092062193126022,1995-05-20,Defender,Centre-Back,both,189.0,Poland,30.42299794661191,14.508658238524095,925.5588040595526,0.0,0.0,1467.0,1.0,0,13.635931096165022,0.8727271423590732
659225,Emmanuel Ogura,75000,2025-10-21,200000,2021-12-28,129,False,0,0,852,10,2,0,0.0,0.0,2002-05-13,Goalkeeper,Goalkeeper,right,182.0,Ghana,23.44147843942505,11.225256725762893,549.5029114260295,0.0,0.0,0.0,1.0,1,12.858925673461748,-1.6336689476988546
607377,Jean Jules,300000,2025-10-21,1000000,2020-03-05,129,False,0,0,1239,25,5,1,0.0,0.0,1998-04-23,Midfield,Central Midfield,right,177.0,Cameroon,27.49623545516769,12.611541086966115,756.0429642060207,0.0,0.0,33.0,1.0,0,13.21275143613598,-0.6012103491698646
